year,khoi,diem_moc,percentile,count_greater_equal,top_percent,higher_than_count,count_exact,view
2025,A,30.0,0.004932212898969784,8,0.0,0,8,Cả nước
2025,A,29.75,0.019728851595879136,32,0.004932212898969784,8,24,Cả nước
2025,A,29.5,0.055487395113410075,90,0.019728851595879136,32,58,Cả nước
2025,A,29.25,0.11282437006393381,183,0.055487395113410075,90,93,Cả nước
2025,A,29.0,0.21208515465570071,344,0.11282437006393381,183,161,Cả nước
2025,A,28.75,0.38532913273201436,625,0.21208515465570071,344,281,Cả nước
2025,A,28.5,0.6381050438042158,1035,0.38532913273201436,625,410,Cả nước
2025,A,28.25,0.9950739523671539,1614,0.6381050438042158,1035,579,Cả nước
2025,A,28.0,1.4229434213527827,2308,0.9950739523671539,1614,694,Cả nước
2025,A,27.75,1.9395927225198677,3146,1.4229434213527827,2308,838,Cả nước
2025,A,27.5,2.5610515477900604,4154,1.9395927225198677,3146,1008,Cả nước
2025,A,27.25,3.278688524590164,5318,2.5610515477900604,4154,1164,Cả nước
2025,A,27.0,4.022219619109859,6524,3.278688524590164,5318,1206,Cả nước
2025,A,26.75,4.887206456266685,7927,4.022219619109859,6524,1403,Cả nước
2025,A,26.5,5.81754511433486,9436,4.887206456266685,7927,1509,Cả nước
2025,A,26.25,6.76514651754943,10973,5.81754511433486,9436,1537,Cả nước
2025,A,26.0,7.750356044118645,12571,6.76514651754943,10973,1598,Cả nước
2025,A,25.75,8.778105906941473,14238,7.750356044118645,12571,1667,Cả nước
2025,A,25.5,9.91559750676638,16083,8.778105906941473,14238,1845,Cả nước
2025,A,25.25,11.106110395255211,18014,9.91559750676638,16083,1931,Cả nước
2025,A,25.0,12.313886028890437,19973,11.106110395255211,18014,1959,Cả nước
2025,A,24.75,13.548788833469997,21976,12.313886028890437,19973,2003,Cả nước
2025,A,24.5,14.833630293651625,24060,13.548788833469997,21976,2084,Cả nước
2025,A,24.25,16.204168952952855,26283,14.833630293651625,24060,2223,Cả nước
2025,A,24.0,17.574707612254084,28506,16.204168952952855,26283,2223,Cả nước
2025,A,23.75,18.989636187646038,30801,17.574707612254084,28506,2295,Cả nước
2025,A,23.5,20.42737624769573,33133,18.989636187646038,30801,2332,Cả nước
2025,A,23.25,21.882379052891817,35493,20.42737624769573,33133,2360,Cả nước
2025,A,23.0,23.409515471735336,37970,21.882379052891817,35493,2477,Cả nước
2025,A,22.75,24.977342646995357,40513,23.409515471735336,37970,2543,Cả nước
2025,A,22.5,26.579078785935796,43111,24.977342646995357,40513,2598,Cả nước
2025,A,22.25,28.2393849530515,45804,26.579078785935796,43111,2693,Cả nước
2025,A,22.0,29.96072725479195,48596,28.2393849530515,45804,2792,Cả nước
2025,A,21.75,31.699948828291173,51417,29.96072725479195,48596,2821,Cả nước
2025,A,21.5,33.46999673240895,54288,31.699948828291173,51417,2871,Cả nước
2025,A,21.25,35.25052558893705,57176,33.46999673240895,54288,2888,Cả nước
2025,A,21.0,37.071128675269264,60129,35.25052558893705,57176,2953,Cả nước
2025,A,20.75,38.92625725189428,63138,37.071128675269264,60129,3009,Cả nước
2025,A,20.5,40.88496229939766,66315,38.92625725189428,63138,3177,Cả nước
2025,A,20.25,42.761052780843286,69358,40.88496229939766,66315,3043,Cả nước
2025,A,20.0,44.70557771626213,72512,42.761052780843286,69358,3154,Cả nước
2025,A,19.75,46.685244668586115,75723,44.70557771626213,72512,3211,Cả nước
2025,A,19.5,48.68957268540496,78974,46.685244668586115,75723,3251,Cả nước
2025,A,19.25,50.77404916183207,82355,48.68957268540496,78974,3381,Cả nước
2025,A,19.0,52.78824160444886,85622,50.77404916183207,82355,3267,Cả nước
2025,A,18.75,54.742630965665626,88792,52.78824160444886,85622,3170,Cả nước
2025,A,18.5,56.775935733265925,92090,54.742630965665626,88792,3298,Cả nước
2025,A,18.25,58.795676915394054,95366,56.775935733265925,92090,3276,Cả nước
2025,A,18.0,60.84809400797786,98695,58.795676915394054,95366,3329,Cả nước
2025,A,17.75,62.90667636668537,102034,60.84809400797786,98695,3339,Cả nước
2025,A,17.5,64.95046208669596,105349,62.90667636668537,102034,3315,Cả nước
2025,A,17.25,66.98438338090864,108648,64.95046208669596,105349,3299,Cả nước
2025,A,17.0,69.02077078157079,111951,66.98438338090864,108648,3303,Cả nước
2025,A,16.75,70.94926602506797,115079,69.02077078157079,111951,3128,Cả nước
2025,A,16.5,72.8124094476538,118101,70.94926602506797,115079,3022,Cả nước
2025,A,16.25,74.75076911694893,121245,72.8124094476538,118101,3144,Cả nước
2025,A,16.0,76.53684671298836,124142,74.75076911694893,121245,2897,Cả nước
2025,A,15.75,78.3124433566175,127022,76.53684671298836,124142,2880,Cả nước
2025,A,15.5,80.05967977607753,129856,78.3124433566175,127022,2834,Cả nước
2025,A,15.25,81.73293300205303,132570,80.05967977607753,129856,2714,Cả nước
2025,A,15.0,83.3297369280945,135160,81.73293300205303,132570,2590,Cả nước
2025,A,14.75,84.85625682032565,137636,83.3297369280945,135160,2476,Cả nước
2025,A,14.5,86.32790584405576,140023,84.85625682032565,137636,2387,Cả nước
2025,A,14.25,87.68364786466007,142222,86.32790584405576,140023,2199,Cả nước
2025,A,14.0,89.0048643949716,144365,87.68364786466007,142222,2143,Cả nước
2025,A,13.75,90.20647476248313,146314,89.0048643949716,144365,1949,Cả nước
2025,A,13.5,91.36492826712865,148193,90.20647476248313,146314,1879,Cả nước
2025,A,13.25,92.43028625330612,149921,91.36492826712865,148193,1728,Cả nước
2025,A,13.0,93.37727112990832,151457,92.43028625330612,149921,1536,Cả nước
2025,A,12.75,94.29466272911671,152945,93.37727112990832,151457,1488,Cả nước
2025,A,12.5,95.07086973409207,154204,94.29466272911671,152945,1259,Cả nước
2025,A,12.25,95.79097281734165,155372,95.07086973409207,154204,1168,Cả nước
2025,A,12.0,96.43216049420774,156412,95.79097281734165,155372,1040,Cả nước
2025,A,11.75,96.99751539775214,157329,96.43216049420774,156412,917,Cả nước
2025,A,11.5,97.53142744406563,158195,96.99751539775214,157329,866,Cả nước
2025,A,11.25,97.94573332757909,158867,97.53142744406563,158195,672,Cả nước
2025,A,11.0,98.32058150790078,159475,97.94573332757909,158867,608,Cả nước
2025,A,10.75,98.64980671890702,160009,98.32058150790078,159475,534,Cả nước
2025,A,10.5,98.92539411463696,160456,98.64980671890702,160009,447,Cả nước
2025,A,10.25,99.15474201443905,160828,98.92539411463696,160456,372,Cả nước
2025,A,10.0,99.3360008384762,161122,99.15474201443905,160828,294,Cả nước
2025,A,9.75,99.49136554479374,161374,99.3360008384762,161122,252,Cả nước
2025,A,9.5,99.60973865436901,161566,99.49136554479374,161374,192,Cả nước
2025,A,9.25,99.70714985912366,161724,99.60973865436901,161566,158,Cả nước
2025,A,9.0,99.78729831873193,161854,99.70714985912366,161724,130,Cả nước
2025,A,8.75,99.83785350094637,161936,99.78729831873193,161854,82,Cả nước
2025,A,8.5,99.87237899123915,161992,99.83785350094637,161936,56,Cả nước
2025,A,8.25,99.91368627426803,162059,99.87237899123915,161992,67,Cả nước
2025,A,8.0,99.94142997182473,162104,99.91368627426803,162059,45,Cả nước
2025,A,7.75,99.95745966374639,162130,99.94142997182473,162104,26,Cả nước
2025,A,7.5,99.97163977583092,162153,99.95745966374639,162130,23,Cả nước
2025,A,7.25,99.98520336130309,162175,99.97163977583092,162153,22,Cả nước
2025,A,7.0,99.9895190475897,162182,99.98520336130309,162175,7,Cả nước
2025,A,6.75,99.99445126048866,162190,99.9895190475897,162182,8,Cả nước
2025,A,6.5,99.99753389355051,162195,99.99445126048866,162190,5,Cả nước
2025,A,6.25,99.99876694677525,162197,99.99753389355051,162195,2,Cả nước
2025,A,6.0,99.99938347338762,162198,99.99876694677525,162197,1,Cả nước
2025,A,5.5,100.0,162199,99.99938347338762,162198,1,Cả nước
2025,A1,29.75,0.0006773278063384336,1,0.0,0,1,Cả nước
2025,A1,29.5,0.005418622450707468,8,0.0006773278063384336,1,7,Cả nước
2025,A1,29.25,0.008805261482399636,13,0.005418622450707468,8,5,Cả nước
2025,A1,29.0,0.020997161996491442,31,0.008805261482399636,13,18,Cả nước
2025,A1,28.75,0.03589837373593698,53,0.020997161996491442,31,22,Cả nước
2025,A1,28.5,0.06705545282750493,99,0.03589837373593698,53,46,Cả nước
2025,A1,28.25,0.1110817602395031,164,0.06705545282750493,99,65,Cả nước
2025,A1,28.0,0.1767825574543312,261,0.1110817602395031,164,97,Cả nước
2025,A1,27.75,0.27228577814805033,402,0.1767825574543312,261,141,Cả nước
2025,A1,27.5,0.3894634886445993,575,0.27228577814805033,402,173,Cả nước
2025,A1,27.25,0.5676007017116074,838,0.3894634886445993,575,263,Cả nước
2025,A1,27.0,0.7917962056096289,1169,0.5676007017116074,838,331,Cả nước
2025,A1,26.75,1.0755965564654326,1588,0.7917962056096289,1169,419,Cả nước
2025,A1,26.5,1.412228476215634,2085,1.0755965564654326,1588,497,Cả nước
2025,A1,26.25,1.8077879151172795,2669,1.412228476215634,2085,584,Cả nước
2025,A1,26.0,2.2819173795541827,3369,1.8077879151172795,2669,700,Cả nước
2025,A1,25.75,2.8400354919770523,4193,2.2819173795541827,3369,824,Cả nước
2025,A1,25.5,3.469273024065457,5122,2.8400354919770523,4193,929,Cả nước
2025,A1,25.25,4.1330542742771215,6102,3.469273024065457,5122,980,Cả nước
2025,A1,25.0,4.9397516916261965,7293,4.1330542742771215,6102,1191,Cả nước
2025,A1,24.75,5.909685110302833,8725,4.9397516916261965,7293,1432,Cả nước
2025,A1,24.5,6.8924877572999,10176,5.909685110302833,8725,1451,Cả nước
2025,A1,24.25,8.006014670920285,11820,6.8924877572999,10176,1644,Cả nước
2025,A1,24.0,9.202852904720297,13587,8.006014670920285,11820,1767,Cả nước
2025,A1,23.75,10.475551852830215,15466,9.202852904720297,13587,1879,Cả nước
2025,A1,23.5,11.845108677246527,17488,10.475551852830215,15466,2022,Cả nước
2025,A1,23.25,13.241081286110038,19549,11.845108677246527,17488,2061,Cả nước
2025,A1,23.0,14.775906095272928,21815,13.241081286110038,19549,2266,Cả nước
2025,A1,22.75,16.378463685069665,24181,14.775906095272928,21815,2366,Cả nước
2025,A1,22.5,18.13477468690522,26774,16.378463685069665,24181,2593,Cả nước
2025,A1,22.25,19.94594924105419,29448,18.13477468690522,26774,2674,Cả nước
2025,A1,22.0,21.817405969967286,32211,19.94594924105419,29448,2763,Cả nước
2025,A1,21.75,23.771496691253667,35096,21.817405969967286,32211,2885,Cả nước
2025,A1,21.5,25.726942068152724,37983,23.771496691253667,35096,2887,Cả nước
