year,khoi,diem_moc,count_exact,count_greater_equal,higher_than_count,percentile,top_percent,view
2025,A00,30.0,8,8,0,0.004932182490752158,0.0,Cả nước
2025,A00,29.75,24,32,8,0.01972872996300863,0.004932182490752158,Cả nước
2025,A00,29.5,58,90,32,0.05548705302096178,0.01972872996300863,Cả nước
2025,A00,29.25,93,183,90,0.11282367447595561,0.05548705302096178,Cả nước
2025,A00,29.0,161,344,183,0.2120838471023428,0.11282367447595561,Cả nước
2025,A00,28.75,281,625,344,0.38532675709001235,0.2120838471023428,Cả nước
2025,A00,28.5,410,1035,625,0.6381011097410605,0.38532675709001235,Cả nước
2025,A00,28.25,579,1614,1035,0.9950678175092478,0.6381011097410605,Cả nước
2025,A00,28.0,694,2308,1614,1.4229346485819976,0.9950678175092478,Cả nước
2025,A00,27.75,838,3146,2308,1.939580764488286,1.4229346485819976,Cả nước
2025,A00,27.5,1008,4154,3146,2.561035758323058,1.939580764488286,Cả nước
2025,A00,27.25,1164,5318,4154,3.278668310727497,2.561035758323058,Cả nước
2025,A00,27.0,1206,6524,5318,4.022194821208385,3.278668310727497,Cả nước
2025,A00,26.75,1403,7927,6524,4.887176325524044,4.022194821208385,Cả nước
2025,A00,26.5,1509,9436,7927,5.81750924784217,4.887176325524044,Cả nước
2025,A00,26.25,1537,10973,9436,6.765104808877928,5.81750924784217,Cả nước
2025,A00,26.0,1598,12571,10973,7.750308261405673,6.765104808877928,Cả nước
2025,A00,25.75,1667,14238,12571,8.778051787916151,7.750308261405673,Cả nước
2025,A00,25.5,1845,16083,14238,9.91553637484587,8.778051787916151,Cả nước
2025,A00,25.25,1931,18014,16083,11.106041923551171,9.91553637484587,Cả nước
2025,A00,25.0,1959,19973,18014,12.313810110974106,11.106041923551171,Cả nước
2025,A00,24.75,2003,21976,19973,13.54870530209618,12.313810110974106,Cả nước
2025,A00,24.5,2084,24060,21976,14.833538840937116,13.54870530209618,Cả nước
2025,A00,24.25,2223,26283,24060,16.20406905055487,14.833538840937116,Cả nước
2025,A00,24.0,2223,28506,26283,17.574599260172626,16.20406905055487,Cả nước
2025,A00,23.75,2295,30801,28506,18.98951911220715,17.574599260172626,Cả nước
2025,A00,23.5,2332,33133,30801,20.427250308261407,18.98951911220715,Cả nước
2025,A00,23.25,2360,35493,33133,21.88224414303329,20.427250308261407,Cả nước
2025,A00,23.0,2477,37970,35493,23.40937114673243,21.88224414303329,Cả nước
2025,A00,22.75,2543,40513,37970,24.97718865598027,23.40937114673243,Cả nước
2025,A00,22.5,2598,43111,40513,26.578914919852036,24.97718865598027,Cả nước
2025,A00,22.25,2693,45804,43111,28.239210850801477,26.578914919852036,Cả nước
2025,A00,22.0,2792,48596,45804,29.96054254007398,28.239210850801477,Cả nước
2025,A00,21.75,2821,51417,48596,31.69975339087546,29.96054254007398,Cả nước
2025,A00,21.5,2871,54288,51417,33.46979038224414,31.69975339087546,Cả nước
2025,A00,21.25,2888,57176,54288,35.25030826140567,33.46979038224414,Cả nước
2025,A00,21.0,2953,60129,57176,37.07090012330456,35.25030826140567,Cả nước
2025,A00,20.75,3009,63138,60129,38.926017262638716,37.07090012330456,Cả nước
2025,A00,20.5,3177,66315,63138,40.88471023427867,38.926017262638716,Cả nước
2025,A00,20.25,3043,69358,66315,42.760789149198516,40.88471023427867,Cả nước
2025,A00,20.0,3154,72512,69358,44.705302096177554,42.760789149198516,Cả nước
2025,A00,19.75,3211,75723,72512,46.68495684340321,44.705302096177554,Cả nước
2025,A00,19.5,3251,78974,75723,48.68927250308261,46.68495684340321,Cả nước
2025,A00,19.25,3381,82355,78974,50.77373612823675,48.68927250308261,Cả nước
2025,A00,19.0,3267,85622,82355,52.787916152897665,50.77373612823675,Cả nước
2025,A00,18.75,3170,88792,85622,54.74229346485821,52.787916152897665,Cả nước
2025,A00,18.5,3298,92090,88792,56.775585696670774,54.74229346485821,Cả nước
2025,A00,18.25,3276,95366,92090,58.79531442663378,56.775585696670774,Cả nước
2025,A00,18.0,3329,98695,95366,60.84771886559802,58.79531442663378,Cả nước
2025,A00,17.75,3339,102034,98695,62.90628853267572,60.84771886559802,Cả nước
2025,A00,17.5,3315,105349,102034,64.95006165228114,62.90628853267572,Cả nước
2025,A00,17.25,3299,108648,105349,66.98397040690506,64.95006165228114,Cả nước
2025,A00,17.0,3303,111951,108648,69.02034525277435,66.98397040690506,Cả nước
2025,A00,16.75,3128,115079,111951,70.94882860665844,69.02034525277435,Cả nước
2025,A00,16.5,3022,118101,115079,72.81196054254008,70.94882860665844,Cả nước
2025,A00,16.25,3144,121245,118101,74.75030826140568,72.81196054254008,Cả nước
2025,A00,16.0,2897,124142,121245,76.53637484586929,74.75030826140568,Cả nước
2025,A00,15.75,2880,127022,124142,78.31196054254008,76.53637484586929,Cả nước
2025,A00,15.5,2834,129856,127022,80.05918618988903,78.31196054254008,Cả nước
2025,A00,15.25,2714,132570,129856,81.7324290998767,80.05918618988903,Cả nước
2025,A00,15.0,2590,135160,132570,83.3292231812577,81.7324290998767,Cả nước
2025,A00,14.75,2476,137636,135160,84.8557336621455,83.3292231812577,Cả nước
2025,A00,14.5,2387,140023,137636,86.32737361282368,84.8557336621455,Cả nước
2025,A00,14.25,2199,142222,140023,87.68310727496917,86.32737361282368,Cả nước
2025,A00,14.0,2143,144365,142222,89.0043156596794,87.68310727496917,Cả nước
2025,A00,13.75,1949,146314,144365,90.2059186189889,89.0043156596794,Cả nước
2025,A00,13.5,1879,148193,146314,91.36436498150432,90.2059186189889,Cả nước
2025,A00,13.25,1728,149921,148193,92.42971639950677,91.36436498150432,Cả nước
2025,A00,13.0,1536,151457,149921,93.3766954377312,92.42971639950677,Cả nước
2025,A00,12.75,1488,152945,151457,94.2940813810111,93.3766954377312,Cả nước
2025,A00,12.5,1259,154204,152945,95.07028360049323,94.2940813810111,Cả nước
2025,A00,12.25,1168,155372,154204,95.79038224414303,95.07028360049323,Cả nước
2025,A00,12.0,1040,156412,155372,96.43156596794081,95.79038224414303,Cả nước
2025,A00,11.75,917,157329,156412,96.99691738594328,96.43156596794081,Cả nước
2025,A00,11.5,866,158195,157329,97.5308261405672,96.99691738594328,Cả nước
2025,A00,11.25,672,158867,158195,97.94512946979039,97.5308261405672,Cả nước
2025,A00,11.0,608,159475,158867,98.31997533908755,97.94512946979039,Cả nước
2025,A00,10.75,534,160009,159475,98.64919852034525,98.31997533908755,Cả nước
2025,A00,10.5,447,160456,160009,98.92478421701603,98.64919852034525,Cả nước
2025,A00,10.25,372,160828,160456,99.15413070283601,98.92478421701603,Cả nước
2025,A00,10.0,294,161122,160828,99.33538840937115,99.15413070283601,Cả nước
2025,A00,9.75,252,161374,161122,99.49075215782985,99.33538840937115,Cả nước
2025,A00,9.5,192,161566,161374,99.6091245376079,99.49075215782985,Cả nước
2025,A00,9.25,158,161724,161566,99.70653514180025,99.6091245376079,Cả nước
2025,A00,9.0,130,161854,161724,99.78668310727497,99.70653514180025,Cả nước
2025,A00,8.75,82,161936,161854,99.83723797780519,99.78668310727497,Cả nước
2025,A00,8.5,56,161992,161936,99.87176325524044,99.83723797780519,Cả nước
2025,A00,8.25,67,162059,161992,99.91307028360049,99.87176325524044,Cả nước
2025,A00,8.0,45,162104,162059,99.94081381011097,99.91307028360049,Cả nước
2025,A00,7.75,26,162130,162104,99.95684340320592,99.94081381011097,Cả nước
2025,A00,7.5,23,162153,162130,99.97102342786684,99.95684340320592,Cả nước
2025,A00,7.25,22,162175,162153,99.9845869297164,99.97102342786684,Cả nước
2025,A00,7.0,7,162182,162175,99.9889025893958,99.9845869297164,Cả nước
2025,A00,6.75,8,162190,162182,99.99383477188655,99.9889025893958,Cả nước
2025,A00,6.5,5,162195,162190,99.99691738594329,99.99383477188655,Cả nước
2025,A00,6.25,2,162197,162195,99.99815043156597,99.99691738594329,Cả nước
2025,A00,6.0,1,162198,162197,99.99876695437732,99.99815043156597,Cả nước
2025,A00,5.5,1,162199,162198,99.99938347718866,99.99876695437732,Cả nước
2025,A00,1.75,1,162200,162199,100.0,99.99938347718866,Cả nước
2025,A01,29.75,1,1,0,0.0006804572672836146,0.0,Cả nước
2025,A01,29.5,7,8,1,0.005443658138268917,0.0006804572672836146,Cả nước
2025,A01,29.25,5,13,8,0.008845944474686989,0.005443658138268917,Cả nước
2025,A01,29.0,17,30,13,0.020413718018508435,0.008845944474686989,Cả nước
2025,A01,28.75,21,51,30,0.03470332063146434,0.020413718018508435,Cả nước
2025,A01,28.5,45,96,51,0.065323897659227,0.03470332063146434,Cả nước
2025,A01,28.25,65,161,96,0.10955362003266195,0.065323897659227,Cả nước
2025,A01,28.0,96,257,161,0.17487751769188895,0.10955362003266195,Cả nước
2025,A01,27.75,141,398,257,0.2708219923788786,0.17487751769188895,Cả nước
2025,A01,27.5,173,571,398,0.38854109961894395,0.2708219923788786,Cả nước
2025,A01,27.25,260,831,571,0.5654599891126837,0.38854109961894395,Cả nước
2025,A01,27.0,326,1157,831,0.787289058247142,0.5654599891126837,Cả nước
2025,A01,26.75,417,1574,1157,1.0710397387044093,0.787289058247142,Cả nước
2025,A01,26.5,493,2067,1574,1.4065051714752312,1.0710397387044093,Cả nước
2025,A01,26.25,577,2644,2067,1.799129014697877,1.4065051714752312,Cả nước
2025,A01,26.0,694,3338,2644,2.2713663581927053,1.799129014697877,Cả nước
2025,A01,25.75,817,4155,3338,2.8272999455634187,2.2713663581927053,Cả nước
2025,A01,25.5,927,5082,4155,3.458083832335329,2.8272999455634187,Cả nước
2025,A01,25.25,974,6056,5082,4.12084921066957,3.458083832335329,Cả nước
2025,A01,25.0,1177,7233,6056,4.921747414262384,4.12084921066957,Cả nước
2025,A01,24.75,1427,8660,7233,5.892759934676103,4.921747414262384,Cả nước
2025,A01,24.5,1440,10100,8660,6.872618399564508,5.892759934676103,Cả nước
2025,A01,24.25,1634,11734,10100,7.984485574305935,6.872618399564508,Cả nước
2025,A01,24.0,1762,13496,11734,9.183451279259662,7.984485574305935,Cả nước
2025,A01,23.75,1865,15361,13496,10.452504082743603,9.183451279259662,Cả nước
2025,A01,23.5,2012,17373,15361,11.821584104518235,10.452504082743603,Cả nước
2025,A01,23.25,2052,19425,17373,13.217882416984214,11.821584104518235,Cả nước
2025,A01,23.0,2254,21679,19425,14.75163309744148,13.217882416984214,Cả nước
2025,A01,22.75,2346,24025,21679,16.34798584648884,14.75163309744148,Cả nước
2025,A01,22.5,2575,26600,24025,18.10016330974415,16.34798584648884,Cả nước
2025,A01,22.25,2659,29259,26600,19.909499183451278,18.10016330974415,Cả nước
2025,A01,22.0,2746,32005,29259,21.778034839412086,19.909499183451278,Cả nước
2025,A01,21.75,2868,34873,32005,23.72958628198149,21.778034839412086,Cả nước
2025,A01,21.5,2867,37740,34873,25.680457267283614,23.72958628198149,Cả nước
2025,A01,21.25,3097,40837,37740,27.78783342406097,25.680457267283614,Cả nước
2025,A01,21.0,3197,44034,40837,29.963255307566683,27.78783342406097,Cả nước
2025,A01,20.75,3198,47232,44034,32.13935764833968,29.963255307566683,Cả nước
2025,A01,20.5,3366,50598,47232,34.429776810016335,32.13935764833968,Cả nước
2025,A01,20.25,3450,54048,50598,36.7773543821448,34.429776810016335,Cả nước
2025,A01,20.0,3643,57691,54048,39.25626020685901,36.7773543821448,Cả nước
2025,A01,19.75,3626,61317,57691,41.7235982580294,39.25626020685901,Cả nước
2025,A01,19.5,3614,64931,61317,44.18277082199238,41.7235982580294,Cả nước
2025,A01,19.25,3700,68631,64931,46.70046271094176,44.18277082199238,Cả nước
2025,A01,19.0,3802,72433,68631,49.28756124115405,46.70046271094176,Cả nước
2025,A01,18.75,3738,76171,72433,51.8311105062602,49.28756124115405,Cả nước
2025,A01,18.5,3740,79911,76171,54.376020685900926,51.8311105062602,Cả nước
2025,A01,18.25,3797,83708,79911,56.9597169297768,54.376020685900926,Cả nước
2025,A01,18.0,3730,87438,83708,59.49782253674469,56.9597169297768,Cả nước
2025,A01,17.75,3744,91182,87438,62.04545454545455,59.49782253674469,Cả nước
2025,A01,17.5,3674,94856,91182,64.54545454545455,62.04545454545455,Cả nước
2025,A01,17.25,3635,98491,94856,67.01891671203049,64.54545454545455,Cả nước
2025,A01,17.0,3445,101936,98491,69.36309199782254,67.01891671203049,Cả nước
2025,A01,16.75,3355,105291,101936,71.64602612955906,69.36309199782254,Cả nước
2025,A01,16.5,3285,108576,105291,73.88132825258575,71.64602612955906,Cả nước
2025,A01,16.25,3047,111623,108576,75.95468154599891,73.88132825258575,Cả nước
2025,A01,16.0,3016,114639,111623,78.00694066412629,75.95468154599891,Cả nước
2025,A01,15.75,3004,117643,114639,80.05103429504628,78.00694066412629,Cả nước
2025,A01,15.5,2783,120426,117643,81.94474686989656,80.05103429504628,Cả nước
2025,A01,15.25,2630,123056,120426,83.73434948285248,81.94474686989656,Cả nước
2025,A01,15.0,2547,125603,123056,85.46747414262384,83.73434948285248,Cả nước
2025,A01,14.75,2320,127923,125603,87.04613500272183,85.46747414262384,Cả nước
2025,A01,14.5,2198,130121,127923,88.54178007621123,87.04613500272183,Cả nước
2025,A01,14.25,1943,132064,130121,89.86390854654329,88.54178007621123,Cả nước
2025,A01,14.0,1891,133955,132064,91.1506532389766,89.86390854654329,Cả nước
2025,A01,13.75,1640,135595,133955,92.26660315732173,91.1506532389766,Cả nước
2025,A01,13.5,1580,137175,135595,93.34172563962983,92.26660315732173,Cả nước
2025,A01,13.25,1447,138622,137175,94.32634730538922,93.34172563962983,Cả nước
2025,A01,13.0,1226,139848,138622,95.16058791507893,94.32634730538922,Cả nước
2025,A01,12.75,1137,140985,139848,95.9342678279804,95.16058791507893,Cả nước
2025,A01,12.5,954,141939,140985,96.58342406096897,95.9342678279804,Cả nước
2025,A01,12.25,852,142791,141939,97.16317365269461,96.58342406096897,Cả nước
2025,A01,12.0,727,143518,142791,97.6578660860098,97.16317365269461,Cả nước
2025,A01,11.75,606,144124,143518,98.07022318998368,97.6578660860098,Cả nước
2025,A01,11.5,553,144677,144124,98.44651605879152,98.07022318998368,Cả nước
2025,A01,11.25,462,145139,144677,98.76088731627654,98.44651605879152,Cả nước
2025,A01,11.0,365,145504,145139,99.00925421883505,98.76088731627654,Cả nước
2025,A01,10.75,314,145818,145504,99.2229178007621,99.00925421883505,Cả nước
2025,A01,10.5,246,146064,145818,99.39031028851389,99.2229178007621,Cả nước
2025,A01,10.25,216,146280,146064,99.53728905824715,99.39031028851389,Cả nước
2025,A01,10.0,176,146456,146280,99.65704953728905,99.53728905824715,Cả nước
2025,A01,9.75,118,146574,146456,99.73734349482852,99.65704953728905,Cả nước
2025,A01,9.5,92,146666,146574,99.79994556341862,99.73734349482852,Cả nước
2025,A01,9.25,69,146735,146666,99.84689711486119,99.79994556341862,Cả nước
2025,A01,9.0,46,146781,146735,99.87819814915623,99.84689711486119,Cả nước
2025,A01,8.75,49,146830,146781,99.91154055525313,99.87819814915623,Cả nước
2025,A01,8.5,44,146874,146830,99.94148067501361,99.91154055525313,Cả nước
2025,A01,8.25,28,146902,146874,99.96053347849755,99.94148067501361,Cả nước
2025,A01,8.0,15,146917,146902,99.9707403375068,99.96053347849755,Cả nước
2025,A01,7.75,17,146934,146917,99.98230811105063,99.9707403375068,Cả nước
2025,A01,7.5,9,146943,146934,99.98843222645618,99.98230811105063,Cả nước
2025,A01,7.25,6,146949,146943,99.99251497005987,99.98843222645618,Cả nước
2025,A01,7.0,4,146953,146949,99.99523679912902,99.99251497005987,Cả nước
2025,A01,6.75,1,146954,146953,99.9959172563963,99.99523679912902,Cả nước
2025,A01,6.5,2,146956,146954,99.99727817093087,99.9959172563963,Cả nước
2025,A01,6.25,2,146958,146956,99.99863908546544,99.99727817093087,Cả nước
2025,A01,5.75,1,146959,146958,99.9993195427327,99.99863908546544,Cả nước
2025,A01,5.5,1,146960,146959,100.0,99.9993195427327,Cả nước
2025,A02,27.25,1,1,0,0.020855057351407715,0.0,Cả nước
2025,A02,26.5,2,3,1,0.06256517205422316,0.020855057351407715,Cả nước
2025,A02,26.25,3,6,3,0.1251303441084463,0.06256517205422316,Cả nước
2025,A02,26.0,3,9,6,0.18769551616266944,0.1251303441084463,Cả nước
2025,A02,25.75,1,10,9,0.20855057351407716,0.18769551616266944,Cả nước
2025,A02,25.5,6,16,10,0.33368091762252344,0.20855057351407716,Cả nước
2025,A02,25.25,3,19,16,0.39624608967674657,0.33368091762252344,Cả nước
2025,A02,25.0,7,26,19,0.5422314911366006,0.39624608967674657,Cả nước
2025,A02,24.75,3,29,26,0.6047966631908238,0.5422314911366006,Cả nước
2025,A02,24.5,5,34,29,0.7090719499478624,0.6047966631908238,Cả nước
2025,A02,24.25,4,38,34,0.7924921793534931,0.7090719499478624,Cả nước
2025,A02,24.0,3,41,38,0.8550573514077163,0.7924921793534931,Cả nước
2025,A02,23.75,6,47,41,0.9801876955161626,0.8550573514077163,Cả nước
2025,A02,23.5,5,52,47,1.0844629822732013,0.9801876955161626,Cả nước
2025,A02,23.25,5,57,52,1.18873826903024,1.0844629822732013,Cả nước
2025,A02,23.0,7,64,57,1.3347236704900938,1.18873826903024,Cả nước
2025,A02,22.75,15,79,64,1.6475495307612096,1.3347236704900938,Cả nước
